album,main_artist_name,release_date,album_popularity,track_number,track_name,disc_number,uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,track_popularity,explicit
Dark Lane Demo Tapes,Drake,2020-05-01,88,1,Deep Pockets,1,spotify:track:3IvMYBE7A3c7to1aEcfFJk,222929.0,7.0,0.0,4.0,0.482,0.473,0.824,0.0,0.605,-3.68,0.163,77.888,0.374,65,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,2,When To Say When,1,spotify:track:5TCBWmEBrin7etRa4Lswr1,223124.0,1.0,1.0,4.0,0.252,0.41,0.82,0.0,0.538,-6.808,0.533,170.718,0.526,66,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,3,Chicago Freestyle (feat. Giveon),1,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,220488.0,10.0,1.0,4.0,0.629,0.735,0.449,0.0,0.113,-7.507,0.347,122.947,0.0397,85,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,4,Not You Too (feat. Chris Brown),1,spotify:track:3Q4gttWQ6hxqWOa3tHoTNi,269680.0,9.0,0.0,4.0,0.342,0.458,0.452,1.94e-05,0.0703,-9.299,0.047,86.318,0.316,70,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,5,Toosie Slide,1,spotify:track:466cKvZn1j45IpxDdYZqdA,247059.0,1.0,0.0,4.0,0.289,0.83,0.49,3.04e-06,0.113,-8.82,0.209,81.604,0.845,82,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,6,Desires (with Future),1,spotify:track:7eYAHC0RbBF9eaqWzT34Aq,237946.0,5.0,0.0,4.0,0.281,0.812,0.506,0.0,0.325,-7.706,0.116,145.074,0.554,71,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,7,Time Flies,1,spotify:track:5H4mXWKcicuLKDn4Jy0sK7,192932.0,10.0,1.0,4.0,0.201,0.864,0.477,0.0,0.182,-5.786,0.224,86.46,0.5,75,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,8,Landed,1,spotify:track:3KixNgUEaDtrKJVzdqjU5q,152195.0,7.0,1.0,4.0,0.00606,0.881,0.636,0.0,0.111,-4.629,0.287,163.949,0.715,67,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,9,D4L,1,spotify:track:5fHrHoJKfCgBd35zwIBmUK,189176.0,1.0,1.0,4.0,0.0128,0.718,0.706,0.0,0.352,-5.709,0.06,170.004,0.815,70,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,10,Pain 1993 (with Playboi Carti),1,spotify:track:6Kj17Afjo1OKJYpf5VzCeo,149078.0,5.0,0.0,4.0,0.163,0.825,0.373,0.0,0.368,-5.532,0.108,77.271,0.12,74,True
Dark Lane Demo Tapes,Drake,2020-05-01,88,11,Losses,1,spotify:track:6fLVTVaHWaEfVKfEgbkf4D,271184.0,1.0,0.0,4.0,0.28,0.551,0.57,0.0,0.424,-7.385,0.351,85.687,0.505,63,True
