album,main_artist_name,release_date,album_popularity,track_number,track_name,disc_number,uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,track_popularity,explicit
WALLS,Kings of Leon,2016-10-14,70,1,Waste A Moment,1,spotify:track:5LlsD7LdSMkGV4Iu0a2Zq0,183093.0,2.0,1.0,4.0,0.000861,0.436,0.85,0.74,0.128,-4.86,0.0617,152.644,0.537,66,False
WALLS,Kings of Leon,2016-10-14,70,2,Reverend,1,spotify:track:5cm47Nc1MWBVIkRFaXxvHY,234080.0,0.0,0.0,4.0,0.0867,0.448,0.815,0.686,0.316,-5.951,0.0361,124.808,0.217,58,False
WALLS,Kings of Leon,2016-10-14,70,3,Around The World,1,spotify:track:06ClI3XK2FPR5uP8tPcFS1,214040.0,1.0,0.0,4.0,0.000252,0.575,0.854,0.676,0.351,-5.847,0.0362,113.075,0.587,57,False
WALLS,Kings of Leon,2016-10-14,70,4,Find Me,1,spotify:track:2mwnYvlLVP465u9V9wjUGj,245573.0,1.0,0.0,4.0,0.000136,0.4,0.946,0.853,0.155,-3.966,0.0634,161.591,0.611,61,False
WALLS,Kings of Leon,2016-10-14,70,5,Over,1,spotify:track:4jyZ3I1hYRcOkI8RJhxgCb,370587.0,2.0,1.0,4.0,0.00199,0.414,0.799,0.507,0.114,-8.253,0.0335,126.852,0.283,55,False
WALLS,Kings of Leon,2016-10-14,70,6,Muchacho,1,spotify:track:0Gu3ftWoA5mdwcAjMvLFG9,189960.0,10.0,0.0,4.0,0.797,0.773,0.602,0.266,0.119,-8.3,0.0287,118.366,0.507,50,False
WALLS,Kings of Leon,2016-10-14,70,7,Conversation Piece,1,spotify:track:6qV3OEpN6uFCZnzNSslbn1,299253.0,4.0,1.0,4.0,0.35,0.425,0.593,0.488,0.216,-7.419,0.0241,170.506,0.653,53,False
WALLS,Kings of Leon,2016-10-14,70,8,Eyes On You,1,spotify:track:03qKJWqX0I2tlMJiU72P1Y,280693.0,0.0,1.0,4.0,0.0194,0.244,0.859,0.0279,0.117,-4.57,0.0423,182.956,0.567,50,False
WALLS,Kings of Leon,2016-10-14,70,9,Wild,1,spotify:track:0FZ7yrTAHEPBtVhxgpsgYf,219427.0,4.0,1.0,4.0,0.00946,0.517,0.723,0.156,0.157,-5.617,0.0352,118.031,0.293,47,False
WALLS,Kings of Leon,2016-10-14,70,10,WALLS,1,spotify:track:41QhRnFDdhMLtR8tmnolbr,329667.0,8.0,1.0,4.0,0.505,0.56,0.32,0.472,0.11,-14.34,0.0313,82.511,0.107,65,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,1,Supersoaker,1,spotify:track:4cQIbDqCZrHknxlDUjRHZ0,230227.0,9.0,1.0,4.0,0.00319,0.436,0.871,0.000473,0.114,-4.446,0.0384,138.743,0.71,62,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,2,Rock City,1,spotify:track:6xsREAkenSsThWyJPHYpQT,176893.0,11.0,0.0,4.0,0.00857,0.424,0.708,0.00087,0.178,-6.332,0.0787,166.3,0.682,54,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,3,Don't Matter,1,spotify:track:48Jhybk2ZpPrnFb3oXdh6Z,170267.0,2.0,1.0,4.0,1.13e-05,0.412,0.88,0.00211,0.282,-5.122,0.0368,154.642,0.845,49,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,4,Beautiful War,1,spotify:track:3iKmdCDZK4XmqxIA9fVVGs,309920.0,9.0,1.0,4.0,0.0496,0.503,0.588,0.0931,0.0706,-10.569,0.0449,62.302,0.367,58,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,5,Temple,1,spotify:track:30SjdIdTMhBSe33nFnBFkC,250453.0,9.0,1.0,4.0,0.00087,0.475,0.644,0.279,0.123,-7.782,0.0326,149.838,0.568,57,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,6,Wait for Me,1,spotify:track:2nO1DYEg1X5GHi8SSuNJQj,210133.0,9.0,1.0,4.0,0.0263,0.488,0.624,0.00223,0.122,-8.357,0.0329,116.723,0.308,63,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,7,Family Tree,1,spotify:track:7FB4AMETSW8jALAPNRKw7Y,230707.0,9.0,1.0,4.0,0.084,0.699,0.762,0.00068,0.089,-6.502,0.0513,101.815,0.79,52,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,8,Comeback Story,1,spotify:track:0vsuDbZZ7llAd299f0xxc3,239053.0,9.0,1.0,4.0,0.0262,0.464,0.738,0.00202,0.143,-7.304,0.0413,119.764,0.369,56,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,9,Tonight,1,spotify:track:5Fds0TERWBkWRktc0z3cZM,273173.0,4.0,1.0,4.0,0.00235,0.326,0.703,0.0169,0.115,-6.225,0.0338,129.326,0.397,53,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,10,Coming Back Again,1,spotify:track:5YpTAKhJSOC1mfz9Nu4l6b,208867.0,11.0,1.0,4.0,0.000307,0.381,0.842,0.053,0.175,-5.89,0.062,162.481,0.414,46,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,11,On the Chin,1,spotify:track:57LZqSzlLFUfFQgM8v6TLK,256680.0,7.0,1.0,4.0,0.0509,0.344,0.559,0.0765,0.384,-10.434,0.0359,138.711,0.306,45,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,12,Work On Me,1,spotify:track:6T69w2utmWW7yMLv958OoT,244480.0,4.0,1.0,4.0,0.0101,0.534,0.808,0.00187,0.291,-6.348,0.0402,78.161,0.475,45,False
Mechanical Bull (Expanded Edition),Kings of Leon,2013-09-24,69,13,Last Mile Home,1,spotify:track:3xEsKvkfxwmcQG8JFUDFlN,251200.0,9.0,1.0,4.0,0.00208,0.453,0.642,0.353,0.139,-8.128,0.0309,121.214,0.416,46,False
