#,Artist Name,Streams,Tracks,1b+,100m+,10m+,1m+,Last Update
1,Drake,"33,723,846,451",222,3,90,207,218,2010-02-20
2,Ed Sheeran,"26,164,166,937",204,5,49,140,174,2010-02-20
3,Post Malone,"21,230,909,747",63,8,47,57,60,2010-02-20
4,Eminem,"19,964,523,349",265,0,45,197,238,2010-02-20
5,Ariana Grande,"19,471,692,387",167,2,44,93,143,2010-02-20
6,Justin Bieber,"18,413,292,635",187,5,37,131,152,2010-02-20
7,The Weeknd,"18,126,102,439",124,4,46,112,121,2010-02-20
8,J Balvin,"17,889,483,333",195,2,46,111,177,2010-02-20
9,Bad Bunny,"17,102,792,107",117,1,49,111,117,2010-02-20
10,Kanye West,"14,916,429,653",206,0,41,157,178,2010-02-20
11,Khalid,"14,822,630,358",88,2,26,75,86,2010-01-20
12,Ozuna,"14,626,141,439",170,1,38,109,154,2010-02-20
13,Coldplay,"14,501,508,428",271,1,23,147,243,2010-02-20
14,Rihanna,"14,365,539,546",385,0,38,103,202,2010-02-20
15,XXXTENTACION,"14,196,566,834",130,3,28,90,110,2010-02-20
16,Imagine Dragons,"14,187,671,400",122,4,28,91,115,2010-02-20
17,Taylor Swift,"13,723,894,009",388,1,32,146,201,2010-02-20
18,Maroon 5,"13,576,012,504",247,2,24,94,179,2010-02-20
19,Travis Scott,"13,464,118,048",103,2,36,85,93,2010-02-20
20,Calvin Harris,"13,371,829,724",243,2,25,80,169,2010-02-20
21,Billie Eilish,"13,368,896,311",44,2,34,39,43,2010-02-20
22,Shawn Mendes,"13,013,025,754",98,4,24,74,97,2010-02-20
23,David Guetta,"12,459,777,963",628,0,32,105,299,2010-02-20
24,The Chainsmokers,"12,316,283,974",177,3,21,69,149,2010-02-20
25,Daddy Yankee,"12,149,488,468",240,2,31,75,161,2010-02-20
26,BTS,"11,920,975,689",227,0,40,147,221,2010-02-20
27,Sam Smith,"11,875,078,486",118,2,25,65,109,2010-02-20
28,Kendrick Lamar,"11,761,289,105",101,1,30,87,98,2010-02-20
29,Dua Lipa,"11,003,745,535",172,4,19,57,113,2010-02-20
30,Juice WRLD,"10,920,612,954",89,1,33,86,87,2010-02-20
31,Queen,"10,918,119,670",606,1,17,80,360,2010-02-20
32,Bruno Mars,"10,917,760,764",70,1,24,49,59,2010-02-20
33,Beyoncé,"10,686,033,094",385,0,23,136,239,2010-02-20
34,Chris Brown,"10,583,793,673",377,0,30,156,302,2010-02-20
35,Future,"10,581,179,136",404,0,18,171,299,2010-02-20
36,Nicki Minaj,"10,455,487,925",145,0,25,98,134,2009-10-20
37,Sia,"9,978,399,427",291,2,19,83,182,2010-02-20
38,Halsey,"9,908,357,759",129,3,20,75,98,2010-02-20
39,Selena Gomez,"9,747,760,433",111,2,17,58,95,2010-02-20
40,One Direction,"9,691,778,163",123,0,26,96,115,2010-02-20
41,Twenty One Pilots,"9,524,314,433",101,3,30,60,91,2010-02-20
42,Lady Gaga,"9,432,126,134",301,1,22,101,162,2010-02-20
43,Kygo,"9,317,956,355",97,1,22,66,94,2010-02-20
44,Avicii,"9,289,856,902",260,1,16,80,154,2010-02-20
45,J. Cole,"9,233,517,891",136,0,23,92,114,2010-02-20
46,The Beatles,"8,825,649,427",723,0,17,151,377,2010-02-20
47,Linkin Park,"8,750,307,903",329,0,17,95,268,2010-02-20
48,Camila Cabello,"8,688,155,328",50,2,22,39,45,2010-02-20
49,Marshmello,"8,620,429,860",129,1,14,70,115,2010-01-20
50,Anuel AA,"8,465,995,017",114,0,20,85,102,2010-02-20
51,Lil Uzi Vert,"8,184,186,646",101,1,21,94,99,2010-02-20
52,Katy Perry,"8,133,104,800",194,0,24,70,128,2010-02-20
53,Adele,"8,124,586,098",61,1,17,43,56,2010-02-20
54,Maluma,"8,029,348,998",153,0,22,88,143,2010-02-20
55,Lana Del Rey,"7,527,784,095",169,0,17,90,121,2010-02-20
56,Nicky Jam,"7,476,290,817",176,0,20,74,126,09/30/20
57,Jason Derulo,"7,461,099,747",183,0,19,55,110,2010-02-20
58,Wiz Khalifa,"7,354,287,434",401,1,15,98,271,2010-02-20
59,Red Hot Chili Peppers,"7,327,734,937",240,0,11,102,193,2010-02-20
60,Martin Garrix,"7,246,204,762",190,0,14,70,144,2010-02-20
61,Shakira,"7,209,608,150",233,0,15,76,179,2010-02-20
62,Major Lazer,"7,206,571,482",240,2,12,54,148,2010-02-20
63,Demi Lovato,"7,173,005,295",204,0,18,66,138,2010-02-20
64,G-Eazy,"7,001,868,028",184,0,13,102,178,09/29/20
65,Ellie Goulding,"6,921,468,854",192,0,16,62,123,2010-02-20
66,Farruko,"6,846,939,982",253,0,22,88,215,2010-01-20
67,Zedd,"6,635,613,381",144,0,14,36,92,2010-02-20
68,Panic! At The Disco,"6,604,471,903",142,0,18,76,126,2010-02-20
69,Charlie Puth,"6,560,566,081",98,3,9,48,78,2010-02-20
70,Arctic Monkeys,"6,538,552,444",115,0,14,79,113,2010-02-20
71,Lil Wayne,"6,511,008,769",565,0,16,96,271,2010-02-20
72,Pitbull,"6,455,571,167",419,0,18,71,193,2010-02-20
73,OneRepublic,"6,448,801,892",143,1,18,63,115,2010-02-20
74,Michael Jackson,"6,328,130,195",311,0,17,81,230,2010-02-20
75,Logic,"6,288,614,457",133,0,10,106,132,2010-02-20
76,Migos,"6,205,200,509",238,0,13,66,152,09/28/20
77,Fall Out Boy,"6,153,702,614",212,0,13,83,161,09/30/20
78,DJ Snake,"6,019,209,802",136,2,9,38,86,2010-02-20
79,Tyga,"6,007,055,616",291,0,15,82,242,2010-01-20
80,John Mayer,"5,940,016,956",189,0,12,103,159,2010-01-20
81,Alan Walker,"5,793,939,093",116,1,14,49,94,2010-01-20
82,Cardi B,"5,757,273,067",57,1,13,38,56,2010-02-20
83,Zara Larsson,"5,723,965,281",108,0,11,39,85,2010-02-20
84,Metallica,"5,552,187,965",700,0,9,92,244,2010-02-20
85,Young Thug,"5,470,402,054",306,0,12,97,169,2010-02-20
86,Lauv,"5,460,351,594",92,1,15,51,83,2010-02-20
87,Sebastian Yatra,"5,451,675,087",85,0,17,55,80,2010-02-20
88,Diplo,"5,451,545,251",337,0,14,64,164,2010-02-20
89,21 Savage,"5,421,088,476",119,0,14,61,98,2010-01-20
90,Kodak Black,"5,386,717,560",180,0,11,71,158,2010-01-20
91,P!nk,"5,353,812,180",203,0,14,66,142,2010-02-20
92,Robin Schulz,"5,326,023,229",194,0,12,41,117,2010-01-20
93,Miley Cyrus,"5,324,106,643",150,0,11,60,125,2010-02-20
94,A$AP Rocky,"5,261,722,697",73,0,14,63,68,2010-02-20
95,Clean Bandit,"5,244,433,354",177,1,8,27,102,09/27/20
96,5 Seconds of Summer,"5,235,480,103",158,1,8,83,156,2010-02-20
97,Justin Timberlake,"5,218,441,610",160,1,12,59,102,2010-02-20
98,A Boogie Wit da Hoodie,"5,168,971,839",119,0,12,83,117,2010-02-20
99,Luis Fonsi,"4,977,871,405",200,2,9,26,102,2010-02-20
100,Jonas Blue,"4,973,862,749",135,0,9,30,77,2010-02-20
101,Bebe Rexha,"4,967,050,416",80,0,12,41,69,2010-02-20
102,Bob Marley & The Wailers,"4,945,244,303",653,0,10,64,333,09/30/20
103,James Arthur,"4,938,706,600",103,1,9,42,91,2010-01-20
104,Mac Miller,"4,932,219,707",192,0,10,102,172,2010-02-20
105,Little Mix,"4,925,793,495",167,0,12,79,124,08/25/20
106,Green Day,"4,908,310,363",351,0,8,64,277,2010-02-20
107,AC/DC,"4,901,763,308",296,0,9,56,209,2010-02-20
108,Romeo Santos,"4,896,155,563",103,0,14,70,98,2010-01-20
109,DJ Khaled,"4,885,605,304",139,0,9,48,103,2010-02-20
110,Anne-Marie,"4,799,512,419",93,1,8,29,65,2010-01-20
111,Lil Baby,"4,768,012,898",136,0,11,74,120,2010-02-20
112,Frank Ocean,"4,748,264,321",46,0,16,46,46,2010-01-20
113,KAROL G,"4,747,847,209",63,0,14,37,57,2010-02-20
114,Skrillex,"4,652,449,781",142,0,11,60,128,2010-02-20
115,Harry Styles,"4,646,898,935",25,0,13,24,24,2010-02-20
116,Flo Rida,"4,639,531,175",264,0,10,35,89,2010-02-20
117,ZAYN,"4,618,604,359",71,0,11,44,70,2010-02-20
118,Bastille,"4,588,990,378",178,1,8,58,131,09/29/20
119,Enrique Iglesias,"4,557,167,572",295,0,11,66,163,09/19/20
120,Childish Gambino,"4,549,687,536",85,0,10,58,78,2010-02-20
121,Sech,"4,549,046,044",94,0,13,47,79,2010-01-20
122,JAY-Z,"4,548,024,176",306,0,10,62,207,2010-02-20
123,Big Sean,"4,547,659,520",123,0,12,62,114,2010-02-20
124,Pink Floyd,"4,545,726,894",421,0,8,83,238,2010-02-20
125,Metro Boomin,"4,519,331,053",96,0,10,57,74,2010-01-20
126,Trippie Redd,"4,513,243,345",124,0,12,91,114,2010-02-20
127,NF,"4,503,829,182",70,0,9,69,70,09/30/20
128,French Montana,"4,463,164,987",352,1,9,49,120,2010-02-20
129,Michael Bublé,"4,417,182,511",215,0,11,73,176,2010-01-20
130,Russ,"4,411,505,475",301,0,10,88,195,2010-02-20
