artist_name,follower_count,genre,artist_popularity
Drake,49816166,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",100
Ed Sheeran,70179992,"['pop', 'uk pop']",93
Post Malone,28434185,"['dfw rap', 'melodic rap', 'rap']",95
Eminem,38231429,"['detroit hip hop', 'hip hop', 'rap']",94
Ariana Grande,50997684,"['dance pop', 'pop', 'post-teen pop']",94
Justin Bieber,38109744,"['canadian pop', 'pop', 'post-teen pop']",94
The Weeknd,24577783,"['canadian contemporary r&b', 'canadian pop', 'pop']",96
J Balvin,22733925,"['latin', 'reggaeton', 'reggaeton colombiano']",97
Bad Bunny,25078145,"['latin', 'reggaeton', 'trap latino']",98
Kanye West,12508512,"['chicago rap', 'rap']",92
Khalid,12578133,"['alternative r&b', 'pop']",93
Ozuna,24473085,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",96
Coldplay,27234873,"['permanent wave', 'pop']",89
Rihanna,39258925,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",91
XXXTENTACION,22199968,"['emo rap', 'miami hip hop']",93
Imagine Dragons,30017677,"['modern rock', 'pop', 'rock']",89
Taylor Swift,32623722,"['dance pop', 'pop']",96
Maroon 5,27055466,"['pop', 'pop rock']",90
Travis Scott,12803245,['rap'],96
Calvin Harris,20661372,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",89
Billie Eilish,33225972,"['electropop', 'pop']",93
Shawn Mendes,29169111,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",88
David Guetta,21539873,"['dance pop', 'edm', 'pop']",88
The Chainsmokers,16763688,"['dance pop', 'edm', 'electropop', 'pop', 'tropical house']",87
Daddy Yankee,20078191,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",93
BTS,23307679,"['k-pop', 'k-pop boy group']",97
Sam Smith,13913539,"['pop', 'post-teen pop', 'uk pop']",90
Kendrick Lamar,15548863,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",90
Dua Lipa,19744622,"['dance pop', 'pop', 'uk pop']",93
Juice WRLD,12470439,"['chicago rap', 'melodic rap']",99
Queen,29019692,"['classic rock', 'glam rock', 'rock']",90
Bruno Mars,26855713,"['dance pop', 'pop']",89
Beyoncé,24534012,"['dance pop', 'pop', 'r&b']",90
Chris Brown,12305184,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",92
Future,9281307,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",91
Nicki Minaj,18817360,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",92
